M, N, K, iter, error, time
512, 37, 62, 4, 2131.309763, 30.000000
512, 37, 62, 5, 2131.309763, 30.000000
512, 37, 87, 1, 872.749278, 40.000000
512, 37, 87, 2, 872.749278, 40.000000
512, 37, 87, 3, 872.749278, 30.000000
512, 37, 87, 4, 872.749278, 30.000000
512, 37, 87, 5, 872.749278, 40.000000
512, 37, 112, 1, 673.461511, 30.000000
512, 37, 112, 2, 673.461511, 50.000000
512, 37, 112, 3, 673.461511, 40.000000
512, 37, 112, 4, 673.461511, 40.000000
512, 37, 112, 5, 673.461511, 30.000000
512, 37, 137, 1, 598.600613, 40.000000
512, 37, 137, 2, 598.600613, 40.000000
512, 37, 137, 3, 598.600613, 40.000000
512, 37, 137, 4, 598.600613, 40.000000
512, 37, 137, 5, 598.600613, 40.000000
512, 37, 162, 1, 566.888693, 40.000000
512, 37, 162, 2, 566.888693, 50.000000
512, 37, 162, 3, 566.888693, 50.000000
512, 37, 162, 4, 566.888693, 50.000000
512, 37, 162, 5, 566.888693, 50.000000
512, 37, 187, 1, 552.523227, 50.000000
512, 37, 187, 2, 552.523227, 50.000000
512, 37, 187, 3, 552.523227, 50.000000
512, 37, 187, 4, 552.523227, 60.000000
512, 37, 187, 5, 557.163229, 50.000000
512, 37, 212, 1, 543.837973, 50.000000
512, 37, 212, 2, 543.837973, 50.000000
512, 37, 212, 3, 543.837973, 50.000000
512, 37, 212, 4, 543.837973, 50.000000
512, 37, 212, 5, 543.837973, 50.000000
512, 37, 237, 1, 539.296895, 60.000000
512, 37, 237, 2, 539.296895, 60.000000
512, 37, 237, 3, 540.920735, 60.000000
512, 37, 237, 4, 540.920735, 50.000000
512, 37, 237, 5, 540.920735, 60.000000
512, 42, -1, 0, 508.495459, 250.000000
